,ID,uf,m2_const,sup_terreno,dormitorios,baños,estacionamientos,bodegas,d_casa,d_proyecto,COMUNA,longitud,latitud
276,277,9453.0,450.0,450.0,10,6,2,0,1,0,13106,-70.6953154,-33.4588333
277,278,4681.678172,139.0,350.0,5,3,1,2,1,0,13106,-70.695883,-33.4574955
278,279,29000.0,400.0,1000.0,5,5,4,1,1,0,13106,-70.6941112,-33.4596643
279,280,7850.0,383.0,383.0,3,3,2,0,1,0,13106,-70.69648,-33.458061
280,281,9040.481987,112.0,286.0,5,2,3,0,1,0,13106,-70.6937878,-33.4539294
281,282,3300.0,62.0,200.0,2,1,0,0,1,0,13106,-70.697866,-33.4494302
282,283,2450.0,45.0,45.0,2,1,0,0,1,0,13106,-70.6927548,-33.4531615
283,284,5800.0,100.0,215.0,2,1,0,0,1,0,13106,-70.6933594,-33.4577446
284,285,4843.11535,153.0,153.0,3,2,0,0,1,0,13106,-70.6930726,-33.4555226
285,286,2250.0,51.0,60.0,2,1,0,0,1,0,13106,-70.6995238,-33.4515093
286,287,5004.552528,114.0,219.0,4,2,4,0,1,0,13106,-70.7035599,-33.4526634
287,288,6457.487133,100.0,341.0,6,2,3,0,1,0,13106,-70.7011719,-33.4498749
288,289,6300.0,202.0,226.0,5,3,2,0,1,0,13106,-70.699391,-33.4620453
289,290,5327.426885,132.0,297.0,8,3,0,0,1,0,13106,-70.701455,-33.4512084
290,291,5488.864063,82.0,130.0,5,2,2,0,1,0,13106,-70.6969741,-33.4570628
291,292,5004.552528,120.0,120.0,5,2,3,1,1,0,13106,-70.6978118,-33.4612768
292,293,4520.240993,140.0,345.0,3,1,2,0,1,0,13106,-70.7039642,-33.4496803
293,294,5950.0,110.0,169.0,2,1,2,0,1,0,13106,-70.6990051,-33.4590759
294,295,7748.98456,130.0,150.0,3,2,1,0,1,0,13106,-70.6990051,-33.4590759
295,296,4520.240993,156.0,304.0,3,1,2,0,1,0,13106,-70.7039534,-33.4496706
296,297,4843.11535,160.0,160.0,4,2,2,0,1,0,13106,-70.7103095,-33.4624099
297,298,4035.929458,95.0,184.36,3,1,0,0,1,0,13106,-70.705925,-33.4604073
298,299,5004.552528,155.0,155.0,3,2,3,1,1,0,13106,-70.7034884,-33.4560283
299,300,3995.0,85.0,150.0,3,2,1,1,1,0,13106,-70.7096891,-33.4586388
300,301,5808.509677,98.93,350.0,3,2,3,0,1,0,13106,-70.7040253,-33.464016
301,302,5004.552528,70.0,70.0,3,1,2,0,1,0,13106,-70.7063254,-33.4574571
302,303,3874.49228,94.5,112.0,4,1,0,0,1,0,13106,-70.7109985,-33.4634247
303,304,4907.690221,100.0,155.0,3,1,1,2,1,0,13106,-70.703408,-33.4566574
304,305,3713.055102,89.0,189.0,4,1,1,0,1,0,13106,-70.7051239,-33.4519348
305,306,1450.0,23.0,23.0,1,1,0,0,1,0,13106,-70.7058574,-33.4539457
306,307,5165.989707,96.0,145.0,4,1,1,0,1,0,13106,-70.7054476,-33.4574293
307,308,4035.929458,75.0,140.0,5,3,1,0,1,0,13106,-70.7118843,-33.4589862
308,309,3551.617923,66.0,162.0,3,1,2,0,1,0,13106,-70.7052701,-33.4646513
309,310,8394.410399,230.0,358.0,6,3,4,0,1,0,13106,-70.7043843,-33.4546256
310,311,5618.013806,110.0,200.0,4,2,3,0,1,0,13106,-70.7107192,-33.4625553
311,312,6457.487133,110.0,250.0,4,2,5,0,1,0,13106,-70.7081127,-33.464212
312,313,3925.0,63.0,170.0,3,1,1,0,1,0,13106,-70.7043304,-33.451889
313,314,4843.11535,75.0,218.0,4,2,1,1,1,0,13106,-70.7070124,-33.4607636
