precio,superficie_total,superficie_util,dormitorios,banos,estacionamientos,tipo
4871,126,115,4,1,1,Casa
16000,440,410,8,6,0,Casa
3200,95,186,5,3,0,Casa
6000,100,220,3,2,2,Casa
9897,394,140,3,2,2,Casa
4361,160,131,3,2,1,Casa
15500,374,368,5,6,2,Casa
6350,102,107,3,3,1,Casa
15500,456,240,4,3,4,Casa
12500,264,180,4,2,0,Casa
5230.279395,160,100,4,2,2,Casa
30000,600,400,4,4,3,Casa
36500,809,486,5,5,0,Casa
8000,180,180,4,3,2,Casa
8365,119,169,4,3,2,Casa
17500,420,184,4,4,4,Casa
12500,210,200,4,2,3,Casa
7500,134,170,6,2,0,Casa
8662.650248,137,137,4,3,1,Casa
32000,625,445,5,6,0,Casa
17500,424,189,5,4,3,Casa
4903.386933,250,175,4,1,0,Casa
9250,9,9,5,3,0,Casa
13800,409,315,5,4,2,Casa
4600,165,130,3,2,0,Casa
9806.773866,250,150,3,2,4,Casa
29500,625,400,4,4,2,Casa
3950,1,1,3,1,1,Casa
16400,418,350,5,3,2,Casa
7000,200,200,5,2,4,Casa
12500,300,260,5,6,0,Casa
5000,8,8,4,2,0,Casa
6950,206,380,6,3,3,Casa
7327.854343,138,138,2,2,1,Casa
8900,240,160,5,4,0,Casa
6210.956782,200,176,5,4,4,Casa
13600,270,215,4,3,1,Casa
18500,393,360,5,7,2,Casa
25000,483,360,5,5,2,Casa
7845.419092,180,180,4,3,1,Casa
3595.817084,67,70,2,2,0,Casa
24000,484,317,5,5,6,Casa
13800,2500,300,3,4,4,Casa
9000,200,180,5,3,0,Casa
23500,598.9,189.43,6,2,3,Casa
8900,180,142,4,3,2,Casa
15500,520,320,5,4,4,Casa
4249.602008,160,160,3,2,2,Casa
9000,160,240,5,4,1,Casa
4968.765425,120,250,6,2,0,Casa
13500,280,275,5,3,0,Casa
36500,809,482,5,6,12,Casa
5850,112,323,6,3,0,Casa
11000,184,237,4,3,1,Casa
13300,400,400,10,5,2,Casa
6210.956782,100,200,3,2,2,Casa
8172.311555,170,206,6,5,3,Casa
13800,416,175,4,5,2,Casa
16500,339,368,6,5,4,Casa
10500,264,276,5,4,3,Casa
15500,374,294,5,6,2,Casa
13000,480,350,5,4,2,Casa
9000,200,240,4,3,2,Casa
13800,320,225,7,3,3,Casa
8716,120,450,18,17,0,Casa
10700,279,140,31,9,0,Casa
8169,204,178.9,5,4,2,Casa
7590,128,168,7,3,2,Casa
2134,93,123,3,1,0,Casa
7681.972861,250,180,4,2,1,Casa
17000,424,189,4,4,4,Casa
6950,90,138,2,2,1,Casa
11441.23618,250,180,4,3,0,Casa
16200,330,126,3,2,0,Casa
15000,300,200,4,4,0,Casa
19000,252,357,6,7,2,Casa
7681.972861,250,180,4,2,1,Casa
35000,805,431,5,4,8,Casa
9000,204,178.9,5,4,2,Casa
4903.386933,250,250,4,4,2,Casa
7560,206,170,6,5,1,Casa
6450,180,180,5,2,2,Casa
8852,134,121,5,2,1,Casa
10500,240,235,5,3,1,Casa
4550,64.5,109.43,4,3,1,Casa
3800,126,130,5,1,0,Casa
5066.833164,130,120,3,3,2,Casa
6227,125,200,3,2,2,Casa
3600,97,134,5,1,1,Casa
13600,270,215,4,3,1,Casa
7950,135,130,4,4,1,Casa
11135,560,560,25,15,0,Casa
12095.0211,347,347,7,4,2,Casa
13800,200,150,6,3,0,Casa
13000,200,284,5,3,3,Casa
4903.386933,175,120,5,2,0,Casa
15900,184,266,5,4,2,Casa
19000,480,140,1,1,0,Casa
11000,505.51,252.45,21,9,1,Casa
7518.52663,220,220,15,5,0,Casa
17000,440,410,8,6,0,Casa
3726.574069,206,206,3,2,0,Casa
12912.25226,150,280,12,3,0,Casa
32000,804.75,430.07,5,5,8,Casa
17000,424,200,4,4,2,Casa
9796,388,420,8,5,0,Casa
13937,400,400,3,6,2,Casa
12990,270,215,4,3,1,Casa
13800,228,221,4,2,2,Casa
2895,73.07,73.07,5,1,1,Casa
4132,79.6,54,3,2,0,Casa
4278,92.31,63.51,3,3,0,Casa
5785,142.05,75.12,3,3,0,Casa
3934,91.28,62.64,3,3,0,Casa
8806,140,100,3,3,0,Casa
8400,200,200,3,3,2,Casa
6200,180,156,3,2,2,Casa
13800,425,140,5,2,2,Casa
6100,125,110,3,3,2,Casa
27500,600,360,6,4,5,Casa
18300,230,150,3,4,0,Casa
5990,139,99,5,3,2,Casa
18300,325,260,5,4,2,Casa
12000,319,240,5,4,2,Casa
23900,455,256,4,3,6,Casa
6999,200,132,3,3,2,Casa
6200,146,155,3,3,1,Casa
7300,200,116,4,2,1,Casa
5750,211,174,5,2,2,Casa
8550,253,253,6,3,2,Casa
7497,140,110,4,3,0,Casa
8980,250,139,4,3,3,Casa
2517.071959,60,60,3,1,1,Casa
12750,5000,240,4,3,1,Casa
13300,186,280,9,9,0,Casa
5230.279395,140,100,4,4,1,Casa
6000,242,125,4,4,0,Casa
12635,186,280,9,11,0,Casa
8400,125,118,3,2,0,Casa
11600,300,180,4,3,2,Casa
2700,210,48,2,1,2,Casa
6000,160,86,3,3,2,Casa
28000,600,300,5,4,4,Casa
8000,180,150,4,3,2,Casa
1909.051979,87,60,2,1,1,Casa
3600,150,90,3,1,2,Casa
2675,144,144,3,1,2,Casa
4800,78,78,3,2,1,Casa
8600,205.84,168.72,5,4,1,Casa
6600,215,120,4,2,1,Casa
5300,128,128,4,3,2,Casa
5300,180,83,3,3,1,Casa
29000,400,390,5,6,2,Casa
4413.04824,80,150,4,2,1,Casa
10500,200,268,4,3,1,Casa
7260,250,120,5,2,6,Casa
5884.064319,110,90,5,2,0,Casa
5200,120,120,4,3,3,Casa
10600,204,262,3,3,2,Casa
3105.478391,150,120,4,1,1,Casa
6500,200,180,6,3,0,Casa
2484.382713,100,200,3,3,1,Casa
12000,200,150,4,4,2,Casa
1,1340,600,5,4,6,Casa
6700,281,170,4,3,2,Casa
